observer,photogroup,photonum,temp,Pressure(inHg),date,month,time,TOD,season,group,count
AO,100,1065,30,26.28,31-Jul-16,Jul,4:45pm,afternoon,dry,family,23
AO,100,1069,27,26.3,31-Jul-16,Jul,5:45pm,afternoon,dry,family,6
AO,100,1088,31,26.39,31-Jul-16,Jul,11:30am,morning,dry,solitarybull,1
AO,100,1089,31,26.38,31-Jul-16,Jul,11:45am,morning,dry,solitarybull,1
AO,100,1090,32,26.37,31-Jul-16,Jul,12:00pm,midday,dry,solitarybull,1
AO,100,1097,33,26.33,31-Jul-16,Jul,1:45pm,midday,dry,solitarybull,1
AO,100,1098,33,26.32,31-Jul-16,Jul,2:00pm,midday,dry,solitarybull,1
AO,100,1099,33,26.32,31-Jul-16,Jul,2:15pm,midday,dry,solitarybull,1
AO,100,1100,33,26.32,31-Jul-16,Jul,2:30pm,midday,dry,solitarybull,1
AO,100,1101,33,26.31,31-Jul-16,Jul,2:45pm,midday,dry,solitarybull,1
AO,100,1102,33,26.31,31-Jul-16,Jul,3:00pm,midday,dry,solitarybull,1
AO,100,1106,32,26.31,31-Jul-16,Jul,4:00pm,afternoon,dry,solitarybull,1
AO,100,1109,31,26.31,31-Jul-16,Jul,4:45pm,afternoon,dry,solitarybull,1
AO,100,1024,28,26.31,30-Jul-16,Jul,5:30pm,afternoon,dry,bull,2
AO,100,1025,27,26.31,30-Jul-16,Jul,5:45pm,afternoon,dry,bull,3
AO,100,1047,32,26.36,30-Jul-16,Jul,12:15pm,midday,dry,bull,2
AO,100,1048,32,26.34,30-Jul-16,Jul,12:30pm,midday,dry,bull,4
AO,100,1049,32,26.34,30-Jul-16,Jul,12:45pm,midday,dry,bull,6
AO,100,1050,32,26.33,30-Jul-16,Jul,1:00pm,midday,dry,bull,5
AO,100,1051,32,26.32,30-Jul-16,Jul,1:15pm,midday,dry,bull,9
AO,100,1052,33,26.31,30-Jul-16,Jul,1:30pm,midday,dry,bull,9
AO,100,1053,33,26.31,30-Jul-16,Jul,1:45pm,midday,dry,bull,9
AO,100,1054,32,26.31,30-Jul-16,Jul,2:00pm,midday,dry,bull,9
AO,100,1055,32,26.29,30-Jul-16,Jul,2:15pm,midday,dry,bull,9
AO,100,1056,32,26.29,30-Jul-16,Jul,2:30pm,midday,dry,bull,9
AO,100,1057,32,26.29,30-Jul-16,Jul,2:45pm,midday,dry,bull,9
AO,100,1058,32,26.29,30-Jul-16,Jul,3:00pm,midday,dry,bull,7
AO,100,1063,30,26.27,30-Jul-16,Jul,4:15pm,afternoon,dry,bull,3
AO,100,1064,30,26.28,30-Jul-16,Jul,4:30pm,afternoon,dry,family,23
AO,100,980,29,26.32,29-Jul-16,Jul,5:30pm,afternoon,dry,solitarybull,1
AO,100,981,28,26.32,29-Jul-16,Jul,5:45pm,afternoon,dry,solitarybull,1
AO,100,999,28,26.37,29-Jul-16,Jul,11:15am,morning,dry,solitarybull,1
AO,100,1000,28,26.37,29-Jul-16,Jul,11:30am,morning,dry,solitarybull,1
AO,100,1004,31,26.34,29-Jul-16,Jul,12:30pm,midday,dry,bull,3
AO,100,1005,32,26.33,29-Jul-16,Jul,12:54pm,midday,dry,bull,2
AO,100,1006,32,26.33,29-Jul-16,Jul,1:00pm,midday,dry,bull,2
AO,100,1007,32,26.32,29-Jul-16,Jul,1:15pm,midday,dry,solitarybull,1
AO,100,1008,33,26.31,29-Jul-16,Jul,1:30pm,midday,dry,solitarybull,1
AO,100,1009,33,26.31,29-Jul-16,Jul,1:45pm,midday,dry,bull,5
AO,100,1010,32,26.3,29-Jul-16,Jul,2:00pm,midday,dry,bull,5
AO,100,1011,32,26.3,29-Jul-16,Jul,2:15pm,midday,dry,bull,3
AO,100,1012,32,26.29,29-Jul-16,Jul,2:30pm,midday,dry,bull,3
AO,100,1013,32,26.29,29-Jul-16,Jul,2:45pm,midday,dry,bull,3
AO,100,1014,32,26.29,29-Jul-16,Jul,3:00pm,midday,dry,bull,2
AO,100,1015,32,26.29,29-Jul-16,Jul,3:15pm,midday,dry,solitarybull,1
AO,100,1018,31,26.29,29-Jul-16,Jul,4:00pm,afternoon,dry,solitarybull,1
AO,100,1019,31,26.29,29-Jul-16,Jul,4:15pm,afternoon,dry,solitarybull,1
AO,100,1022,29,26.3,29-Jul-16,Jul,5:00pm,afternoon,dry,solitarybull,1
