photonum,A_Type_R1,A_Size_R1,B_Type_R1,B_Size_R1,C_Type_R1,C_Size_R1,C_Type_R2,C_Size_R2,D_Type_R1,D_Size_R1,D_Type_R2,D_Size_R2,E_Type_R1,E_Size_R1,E_Type_R2,E_Size_R2
95,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
130,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4
131,bull,4,bull,3,bull,4,bull,4,bull,4,bull,3,bull,3,bull,3
161,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
354,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
398,mixed,19,mixed,21,mixed,20,mixed,23,mixed,23,mixed,25,mixed,21,mixed,21
409,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4
625,mixed,29,mixed,30,mixed,28,mixed,29,mixed,28,mixed,33,mixed,28,mixed,29
638,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
690,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
699,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
1110,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1114,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1120,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1230,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1366,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4
1622,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1748,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1751,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1762,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1772,mixed,26,mixed,30,mixed,28,mixed,30,mixed,27,mixed,28,mixed,26,mixed,26
1776,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
1931,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
2047,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
2057,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
2060,bull,8,mixed,8,mixed,8,bull,8,mixed,8,bull,8,mixed,8,mixed,8
2376,bull,12,bull,12,bull,12,bull,12,mixed,12,bull,12,bull,12,bull,12
2463,mixed,28,mixed,29,mixed,28,mixed,31,mixed,29,mixed,31,mixed,29,mixed,30
2465,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
2476,family,15,family,16,family,14,mixed,17,mixed,16,mixed,16,mixed,16,mixed,16
2486,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2,bull,2
2710,family,27,family,27,mixed,30,mixed,30,family,29,mixed,31,family,28,family,27
2807,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
2816,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
3073,family,23,family,22,family,21,mixed,24,mixed,24,mixed,25,family,21,family,22
3117.2,bull,3,bull,3,bull,3,bull,3,family,3,bull,3,bull,3,bull,3
3117,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3
3130,family,9,family,9,family,11,family,10,family,10,family,11,family,10,family,10
3147,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
3371,mixed,6,mixed,6,mixed,6,mixed,6,mixed,6,mixed,6,mixed,6,mixed,6
3409,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
3429,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4,bull,4
3471,mixed,32,mixed,33,mixed,37,mixed,35,mixed,37,mixed,41,mixed,35,mixed,34
3769,mixed,6,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,6,solitarybull,1,solitarybull,1
3781,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
3793,bull,4,bull,4,bull,4,bull,4,bull,4,family,4,bull,4,bull,4
3807,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
4004,family,21,family,21,family,21,mixed,21,mixed,22,mixed,21,mixed,21,mixed,22
4042,bull,13,family,13,bull,13,bull,13,family,13,bull,13,bull,13,bull,13
4083,bull,4,bull,4,bull,3,bull,3,bull,3,bull,3,bull,3,bull,3
4092,family,22,family,23,family,26,mixed,25,family,23,mixed,23,family,23,mixed,22
4392,mixed,36,mixed,34,mixed,36,mixed,31,mixed,35,mixed,40,mixed,32,mixed,35
4432,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1,solitarybull,1
